TimeStamp 	 X-Value 	 Y-Value 	 Z-Value 
29518	2.723	-2.646	-3.413
29640	2.727	-2.646	-3.41
29640	2.727	-2.646	-3.41
29762	2.712	-2.643	-3.419
29762	2.712	-2.643	-3.419
29886	2.711	-2.634	-3.415
29886	2.711	-2.634	-3.415
30009	2.728	-2.643	-3.416
30130	2.736	-2.648	-3.412
30130	2.736	-2.648	-3.412
30253	2.748	-2.641	-3.401
30374	2.761	-2.66	-3.4
30374	2.761	-2.66	-3.4
30497	2.757	-2.637	-3.393
30497	2.757	-2.637	-3.393
30618	2.774	-2.642	-3.383
30741	2.766	-2.652	-3.385
30862	2.771	-2.645	-3.386
30862	2.771	-2.645	-3.386
30987	2.771	-2.656	-3.392
