TimeStamp 	 X-Value 	 Y-Value 	 Z-Value 
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
0	0.0	0.0	0.0
