TimeStamp 	 X-Value 	 Y-Value 	 Z-Value 
1315898	2.737	-2.109	-1.145
1316142	2.743	-2.111	-1.091
1316142	2.743	-2.111	-1.091
1316142	2.743	-2.111	-1.091
1316265	2.731	-2.112	-1.118
1316265	2.731	-2.112	-1.118
1316265	2.731	-2.112	-1.118
1316387	2.734	-2.113	-1.145
1316387	2.734	-2.113	-1.145
1316387	2.734	-2.113	-1.145
1316509	2.733	-2.112	-1.113
1316509	2.733	-2.112	-1.113
1316631	2.737	-2.124	-1.117
1316631	2.737	-2.124	-1.117
1316631	2.737	-2.124	-1.117
1316753	2.733	-2.112	-1.113
1316753	2.733	-2.112	-1.113
1316753	2.733	-2.112	-1.113
1316875	2.735	-2.115	-1.146
1316875	2.735	-2.115	-1.146
1316875	2.735	-2.115	-1.146
1316997	2.735	-2.122	-1.126
1316997	2.735	-2.122	-1.126
1316997	2.735	-2.122	-1.126
1317119	2.735	-2.11	-1.147
1317119	2.735	-2.11	-1.147
1317241	2.729	-2.113	-1.164
1317241	2.729	-2.113	-1.164
1317241	2.729	-2.113	-1.164
1317367	2.728	-2.111	-1.17
1317367	2.728	-2.111	-1.17
1317489	2.732	-2.116	-1.169
1317489	2.732	-2.116	-1.169
1317489	2.732	-2.116	-1.169
1317612	2.738	-2.116	-1.12
1317612	2.738	-2.116	-1.12
1317733	2.728	-2.113	-1.167
1317733	2.728	-2.113	-1.167
1317733	2.728	-2.113	-1.167
1317856	2.736	-2.109	-1.103
1317856	2.736	-2.109	-1.103
1317856	2.736	-2.109	-1.103
1317977	2.736	-2.109	-1.103
1317977	2.736	-2.109	-1.103
1318100	2.732	-2.122	-1.134
1318100	2.732	-2.122	-1.134
1318100	2.732	-2.122	-1.134
1318221	2.742	-2.118	-1.106
1318221	2.742	-2.118	-1.106
1318221	2.742	-2.118	-1.106
1318344	2.736	-2.117	-1.125
1318344	2.736	-2.117	-1.125
1318344	2.736	-2.117	-1.125
1318467	2.734	-2.117	-1.129
1318467	2.734	-2.117	-1.129
1318467	2.734	-2.117	-1.129
1318467	2.734	-2.117	-1.129
1318589	2.734	-2.11	-1.107
1318589	2.734	-2.11	-1.107
1318589	2.734	-2.11	-1.107
1318711	2.742	-2.119	-1.117
1318711	2.742	-2.119	-1.117
1318711	2.742	-2.119	-1.117
1318833	2.74	-2.116	-1.116
1318833	2.74	-2.116	-1.116
1318833	2.74	-2.116	-1.116
1318955	2.749	-2.118	-1.099
1318955	2.749	-2.118	-1.099
1318955	2.749	-2.118	-1.099
1319077	2.734	-2.119	-1.125
1319077	2.734	-2.119	-1.125
1319077	2.734	-2.119	-1.125
1319199	2.729	-2.115	-1.168
1319199	2.729	-2.115	-1.168
1319199	2.729	-2.115	-1.168
1319321	2.743	-2.116	-1.108
1319321	2.743	-2.116	-1.108
1319321	2.743	-2.116	-1.108
1319443	2.73	-2.111	-1.159
1319443	2.73	-2.111	-1.159
1319443	2.73	-2.111	-1.159
1319566	2.735	-2.122	-1.126
1319566	2.735	-2.122	-1.126
1319566	2.735	-2.122	-1.126
1319688	2.735	-2.124	-1.121
1319688	2.735	-2.124	-1.121
1319688	2.735	-2.124	-1.121
1319688	2.735	-2.124	-1.121
1319810	2.738	-2.119	-1.116
1319810	2.738	-2.119	-1.116
1319810	2.738	-2.119	-1.116
1319932	2.739	-2.124	-1.112
1319932	2.739	-2.124	-1.112
1319932	2.739	-2.124	-1.112
1320054	2.732	-2.111	-1.154
1320054	2.732	-2.111	-1.154
1320054	2.732	-2.111	-1.154
1320176	2.725	-2.132	-1.148
1320176	2.725	-2.132	-1.148
1320176	2.725	-2.132	-1.148
1320298	2.748	-2.122	-1.1
1320298	2.748	-2.122	-1.1
1320298	2.748	-2.122	-1.1
1320420	2.817	-2.161	-1.122
1320420	2.817	-2.161	-1.122
1320420	2.817	-2.161	-1.122
1320420	2.817	-2.161	-1.122
1320542	2.902	-2.196	-1.114
1320542	2.902	-2.196	-1.114
1320542	2.902	-2.196	-1.114
1320667	2.966	-2.24	-1.194
1320667	2.966	-2.24	-1.194
1320667	2.966	-2.24	-1.194
1320788	3.023	-2.256	-1.195
1320788	3.023	-2.256	-1.195
1320788	3.023	-2.256	-1.195
1320911	3.023	-2.256	-1.195
1320911	3.023	-2.256	-1.195
1320911	3.023	-2.256	-1.195
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321032	2.499	-2.367	-2.064
1321155	2.696	-2.351	-1.83
1321155	2.696	-2.351	-1.83
1321155	2.696	-2.351	-1.83
1321520	1.97	-2.423	-2.529
1321520	1.97	-2.423	-2.529
1321643	1.97	-2.423	-2.529
1321643	1.97	-2.423	-2.529
1321643	1.97	-2.423	-2.529
1321765	1.97	-2.423	-2.529
1321765	1.97	-2.423	-2.529
1321765	1.97	-2.423	-2.529
1321765	1.97	-2.423	-2.529
1321765	1.97	-2.423	-2.529
1321765	1.97	-2.423	-2.529
1321888	2.73	-2.353	-1.79
1321888	2.73	-2.353	-1.79
1321888	2.73	-2.353	-1.79
1322132	2.748	-2.343	-1.761
1322132	2.748	-2.343	-1.761
1322132	2.748	-2.343	-1.761
1322253	2.727	-2.336	-1.792
1322253	2.727	-2.336	-1.792
1322253	2.727	-2.336	-1.792
1322376	2.571	-2.325	-2.016
1322376	2.571	-2.325	-2.016
1322376	2.571	-2.325	-2.016
1322497	2.776	-2.232	-1.809
1322497	2.776	-2.232	-1.809
1322497	2.776	-2.232	-1.809
1322620	2.776	-2.232	-1.809
1322620	2.776	-2.232	-1.809
1322620	2.776	-2.232	-1.809
1322741	3.191	-2.072	-1.208
1322741	3.191	-2.072	-1.208
1322741	3.191	-2.072	-1.208
1322866	3.235	-2.041	-1.163
1322866	3.235	-2.041	-1.163
